  STN,YYYYMMDD,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH
#
  316,20181116,   41,   70,   17,   20,    9,   90,   17,     ,     ,
  316,20181117,   84,  100,   10,   60,    1,  130,   10,     ,     ,
  316,20181118,   83,  110,   24,   70,    6,  160,   24,     ,     ,
  316,20181119,  108,  130,   20,   80,    7,  170,   18,     ,     ,
  313,20181101,   86,  110,    7,   60,   16,  140,    9,     ,     ,
  313,20181102,   59,   90,    2,   30,   22,  120,    1,     ,     ,
  313,20181103,   67,   80,   10,   40,    1,  100,   10,     ,     ,
  313,20181104,   65,   90,    8,   50,   11,  100,    8,     ,     ,
  313,20181105,   55,   80,    5,   40,   12,  100,    5,     ,     ,
  313,20181106,   59,   80,   16,   40,    1,  100,   23,     ,     ,
  313,20181107,  110,  130,   14,   90,    1,  160,    8,     ,     ,
  313,20181108,   70,  110,    2,   50,   13,  150,    2,     ,     ,
  313,20181109,   78,  120,   24,   60,    1,  150,   22,     ,     ,
  313,20181110,  100,  140,    3,   70,   15,  190,    5,     ,     ,
  313,20181111,   98,  130,    9,   70,   21,  170,   11,     ,     ,
  313,20181112,   68,  100,   20,   50,    2,  120,   19,     ,     ,
  313,20181113,   92,  120,    7,   70,   15,  170,    7,     ,     ,
  313,20181114,   64,   80,    2,   50,   13,  110,    4,     ,     ,
  313,20181115,   53,   70,    6,   40,   14,   80,    1,     ,     ,
  313,20181116,   42,   70,   16,   30,    5,   90,   16,     ,     ,
  313,20181117,   82,  110,   18,   40,    1,  140,   18,     ,     ,
  313,20181118,   99,  130,   20,   60,   11,  160,   17,     ,     ,
  313,20181119,  133,  160,   20,  110,    9,  210,   20,     ,     ,
  277,20181101,   53,   80,    8,   40,    1,  110,    8,   99,   77,    2
  277,20181102,   55,  110,    5,   30,   19,  150,    4,   85,   46,   22
  277,20181103,   43,   60,   12,   30,    1,   90,   12,   62,   31,    8
  277,20181104,   44,   60,   10,   20,   16,   80,    8,   63,   20,    7
  277,20181105,   40,   60,   13,   20,   21,   90,   13,   90,   54,    1
  277,20181106,   48,   70,   19,   30,    1,  100,   19,  113,   70,    6
  277,20181107,   58,   80,   12,   40,    3,  130,   19,  115,   88,    7
  277,20181108,   47,   60,    1,   30,   16,  110,    8,   95,   59,   23
  277,20181109,   53,   70,   22,   40,   14,   90,    8,   84,   63,    1
  277,20181110,   66,   90,    5,   50,   16,  150,    8,  111,   89,    1
  277,20181111,   62,   80,   11,   40,   22,  140,   13,  106,   81,   24
  277,20181112,   38,   50,    4,   20,   13,   80,    6,   94,   81,    1
  277,20181113,   60,  100,   10,   40,   22,  160,    9,   93,   75,   24
  277,20181114,   48,   60,   13,   40,    1,   90,   13,   89,   67,   24
  277,20181115,   46,   60,   21,   40,    1,   80,    7,   62,   25,   23
  277,20181116,   34,   60,   24,   20,    9,   90,   24,   30,    9,    8
  277,20181117,   63,   80,   18,   50,   15,  120,   19,   39,   18,   24
  277,20181118,   74,  100,   18,   50,   14,  130,   17,   49,   16,    1
  277,20181119,  118,  140,   12,   90,    1,  190,   14,   60,   41,   24
  348,20181101,   45,   60,   24,   30,    8,   90,   24,  102,   81,    7
  348,20181102,   35,   60,    1,   10,   19,   90,    1,   72,   13,   21
  348,20181103,   27,   40,   12,   20,    1,   70,   12,   48,    7,    6
  348,20181104,   32,   40,    1,   20,    5,   60,    2,   64,   11,    7
  348,20181105,   30,   50,   14,   20,    8,   70,   12,   86,   62,    4
  348,20181106,   38,   50,    8,   20,   16,   70,    8,  123,   72,    1
  348,20181107,   55,   70,   13,   30,    1,  120,   13,  108,   83,    5
  348,20181108,   39,   70,    3,   20,   16,  100,    3,   95,   67,   20
  348,20181109,   40,   60,   22,   30,    3,   90,   22,   93,   71,    2
  348,20181110,   60,   80,    5,   40,   19,  130,    5,  114,   92,   23
  348,20181111,   55,   80,   12,   30,   19,  130,   11,  111,   83,   24
  348,20181112,   29,   40,   20,   20,    5,   60,   20,   99,   84,   24
  348,20181113,   61,  100,    9,   30,   24,  170,    8,   96,   72,   23
  348,20181114,   34,   40,    1,   20,   23,   70,   11,   80,   50,   24
  348,20181115,   35,   40,    2,   30,    1,   70,   19,   70,   30,   24
  348,20181116,   29,   40,    9,   10,   15,   70,    9,   39,    4,    6
  348,20181117,   40,   50,    1,   30,    5,   80,   11,   47,   16,    7
  348,20181118,   46,   70,   16,   30,    1,  110,   16,   33,    0,    7
  348,20181119,   57,   70,   12,   30,    2,  130,   15,   49,   28,    2
  308,20181101,   51,  100,   23,   30,    2,  120,   23,     ,     ,
  308,20181102,   59,   90,    5,   30,   21,  110,    2,     ,     ,
  308,20181103,   38,   60,    2,   20,   17,   80,   15,     ,     ,
  308,20181104,   35,   50,    6,   20,   16,   70,    9,     ,     ,
  308,20181105,   32,   40,    1,   20,   11,   90,    5,     ,     ,
  308,20181106,   39,   50,   19,   30,    1,   80,   16,     ,     ,
  308,20181107,   63,   80,   12,   50,    1,  140,   14,     ,     ,
  308,20181108,   40,   70,    2,   20,   17,  110,    2,     ,     ,
  308,20181109,   46,   80,   24,   30,    1,  140,   24,     ,     ,
  308,20181110,   60,   90,    1,   40,   15,  160,    1,     ,     ,
  308,20181111,   60,   80,    9,   40,   18,  130,    8,     ,     ,
  308,20181112,   38,   50,   19,   20,    6,   90,   23,     ,     ,
  308,20181113,   65,   90,   10,   50,    1,  140,   11,     ,     ,
  308,20181114,   40,   50,    1,   30,   14,   80,    1,     ,     ,
  308,20181115,   39,   60,    5,   30,   10,   70,    1,     ,     ,
  308,20181116,   28,   40,    1,   20,    5,   70,   16,     ,     ,
  308,20181117,   51,   80,   19,   10,    2,  120,   18,     ,     ,
  308,20181118,   80,  120,   19,   50,    5,  150,   18,     ,     ,
  308,20181119,  118,  140,   19,   80,    3,  190,   19,     ,     ,
  319,20181101,   38,   60,   22,   20,    4,  120,   22,  111,   87,    5
  319,20181102,   35,   50,    1,   20,   17,   90,   11,   72,   32,   23
  319,20181103,   17,   40,   12,   10,    2,   60,   11,   49,    1,    6
  319,20181104,   21,   30,    6,   10,    4,   50,    6,   68,   22,    7
  319,20181105,   17,   30,    2,   10,    3,   60,    2,   89,   45,    5
  319,20181106,   27,   40,   13,   10,    3,   70,   12,  143,   87,    1
  319,20181107,   48,   60,   11,   30,    3,  120,   11,  112,   97,    5
  319,20181108,   31,   50,    1,   10,   17,  100,    3,   92,   45,   20
  319,20181109,   29,   50,   24,   10,    6,   90,   22,   97,   55,    7
  319,20181110,   50,   80,    7,   30,   14,  120,    5,  116,   99,   21
  319,20181111,   55,   80,    9,   20,   24,  140,   10,  115,   96,   22
  319,20181112,   27,   50,   18,   10,    3,   80,   18,  103,   91,   22
  319,20181113,   59,   80,    7,   30,   22,  130,    9,  108,   87,   24
  319,20181114,   25,   40,   12,   10,   21,   80,   13,   85,   53,   23
  319,20181115,   20,   30,    1,   10,    8,   50,   14,   83,   44,    8
  319,20181116,   20,   30,    1,   10,   12,   50,   14,   55,   27,   24
  319,20181117,   34,   60,   18,    0,    5,   90,   13,   38,  -11,    6
  319,20181118,   42,   60,   23,   30,    1,   90,   22,   23,   -9,    7
  319,20181119,   67,   80,   11,   50,    1,  150,   24,   41,    9,    1
  215,20181101,   43,   60,   24,   30,    8,  130,   24,  100,   72,    7
  215,20181102,   40,   70,    1,   10,   19,  110,    1,   77,   11,   24
  215,20181103,   27,   50,   12,   10,    1,  100,   13,   49,    6,    1
  215,20181104,   29,   40,   10,   20,    1,   60,   10,   56,   11,    2
  215,20181105,   35,   50,   11,   30,    1,   80,   11,   81,   58,    1
  215,20181106,   31,   50,   13,   20,    1,   70,   13,  114,   55,    2
  215,20181107,   54,   70,    9,   30,    3,  130,   11,  109,   84,    6
  215,20181108,   40,   60,    2,   20,   17,  100,    3,   91,   43,   21
  215,20181109,   38,   60,   22,   20,    6,  110,   24,   87,   59,    3
  215,20181110,   58,   80,    2,   30,   17,  140,    3,  114,   92,   22
  215,20181111,   56,   80,   10,   30,   19,  140,   12,  111,   82,   23
  215,20181112,   32,   40,   12,   20,    2,   70,   11,  101,   86,    1
  215,20181113,   59,   90,   12,   30,   19,  140,   11,  100,   68,   20
  215,20181114,   33,   50,   12,   10,   21,   80,   13,   82,   33,   23
  215,20181115,   30,   40,   10,   20,    1,   60,   10,   66,   28,   24
  215,20181116,   27,   40,    9,   20,    2,   70,   10,   26,  -10,    6
  215,20181117,   45,   60,   18,   20,    3,  100,   23,   44,   12,    7
  215,20181118,   51,   60,    1,   40,    6,  110,   15,   36,    4,    7
  215,20181119,   73,   80,   13,   60,    1,  140,    4,   52,   31,   23
  278,20181101,   23,   30,    4,   20,    1,   70,   24,   99,   66,    2
  278,20181102,   27,   60,    4,   10,   17,  130,    4,   74,    6,   24
  278,20181103,   13,   20,   11,   10,    1,   50,   13,   35,   -7,    4
  278,20181104,   16,   30,   11,    0,    4,   50,   11,   42,  -28,    5
  278,20181105,   19,   30,    6,   10,    1,   70,   10,   73,   21,    2
  278,20181106,   20,   30,   10,   10,    1,   50,    9,  107,   48,    2
  278,20181107,   28,   40,   12,   20,    1,   90,   12,  120,   83,    7
  278,20181108,   25,   40,    6,   10,   16,   70,    4,   84,   17,   21
  278,20181109,   24,   30,    1,   10,   17,   70,   24,   93,   44,    1
  278,20181110,   32,   50,    8,   20,   22,  110,    7,  122,  103,    1
  278,20181111,   34,   50,    8,   20,   20,  100,    6,  117,   88,   22
  278,20181112,   17,   20,    1,   10,    3,   50,    1,   99,   85,   24
  278,20181113,   38,   70,   12,   20,    1,  130,   11,   99,   76,   24
  278,20181114,   22,   30,    5,   10,   17,   60,    9,   77,   39,   24
  278,20181115,   16,   30,   13,   10,    1,   50,   11,   42,  -14,   24
  278,20181116,   20,   30,   13,   10,    1,   50,   14,   21,  -31,    3
  278,20181117,   35,   50,   10,   20,    1,   90,   10,   27,   -8,    3
  278,20181118,   23,   30,   10,   10,    6,   70,   10,   19,  -36,    8
  278,20181119,   47,   80,   24,   20,    1,  160,   24,   49,   31,    2
  285,20181101,   70,  100,    8,   50,   15,  120,    8,     ,     ,
  285,20181102,   79,  130,    5,   40,   21,  160,    5,     ,     ,
  285,20181103,   67,   80,   12,   50,    1,  100,   12,     ,     ,
  285,20181104,   65,   80,    4,   50,   15,  100,    4,     ,     ,
  285,20181105,   54,   80,    7,   40,    1,  100,    7,     ,     ,
  285,20181106,   63,   90,   19,   40,    1,  110,   21,     ,     ,
  285,20181107,   70,   80,   10,   60,    2,  110,   19,     ,     ,
  285,20181108,   63,  100,    9,   30,   21,  120,    9,     ,     ,
  285,20181109,   74,   90,    5,   50,    1,  110,    5,     ,     ,
  285,20181110,   84,  110,    5,   60,   23,  160,    8,     ,     ,
  285,20181111,   83,  100,   14,   60,   17,  140,   14,     ,     ,
  285,20181112,   54,   80,   24,   30,   12,  110,   24,     ,     ,
  285,20181113,   93,  120,    9,   70,   22,  160,    9,     ,     ,
  285,20181114,   70,   80,    3,   50,   23,  100,    3,     ,     ,
  285,20181115,   65,   80,   21,   50,   14,  100,    3,     ,     ,
  285,20181116,   55,   90,   23,   30,   12,  120,   23,     ,     ,
  285,20181117,   95,  110,    7,   80,   14,  130,    8,     ,     ,
  285,20181118,   81,  110,   19,   50,   10,  140,   17,     ,     ,
  285,20181119,  132,  150,   13,  110,    1,  190,   13,     ,     ,
  343,20181101,   50,   70,   24,   40,    7,  110,   24,     ,     ,
  343,20181102,   47,   80,    1,   20,   20,  120,    1,     ,     ,
  343,20181103,   36,   60,   12,   30,    1,   90,   12,     ,     ,
  343,20181104,   41,   70,   18,   20,    2,  100,   19,     ,     ,
  343,20181105,   46,   60,    1,   30,   22,  100,    2,     ,     ,
  343,20181106,   40,   60,   18,   20,    4,   90,   15,     ,     ,
  343,20181107,   55,   70,   17,   40,    1,  120,   13,     ,     ,
  343,20181108,   51,   80,    4,   30,   17,  130,    4,     ,     ,
  343,20181109,   47,   60,   23,   40,    5,  100,   24,     ,     ,
  343,20181110,   54,   70,    2,   40,   15,  120,    6,     ,     ,
  343,20181111,   63,   90,   12,   40,   22,  130,   10,     ,     ,
  343,20181112,   40,   60,   24,   20,    4,   90,   21,     ,     ,
  343,20181113,   70,   90,    7,   50,   18,  140,    8,     ,     ,
  343,20181114,   40,   50,    1,   30,    6,   80,    4,     ,     ,
  343,20181115,   37,   60,   20,   20,   24,   90,   20,     ,     ,
  343,20181116,   35,   60,   24,   20,    6,   90,   24,     ,     ,
  343,20181117,   65,   80,   15,   40,    4,  110,    8,     ,     ,
  343,20181118,   56,   70,    1,   40,    8,  110,   12,     ,     ,
  343,20181119,   73,   90,   12,   50,    3,  140,   13,     ,     ,
  225,20181101,   63,   80,    9,   50,    2,  130,    8,     ,     ,
  225,20181102,   79,  140,    1,   30,   16,  170,    1,     ,     ,
  225,20181103,   53,   80,   12,   40,    2,  100,   11,     ,     ,
  225,20181104,   43,   50,    1,   30,   16,   90,   21,     ,     ,
  225,20181105,   45,   70,   11,   30,   21,  110,   11,     ,     ,
  225,20181106,   49,   60,   13,   30,    1,  110,    7,     ,     ,
  225,20181107,   72,   90,   10,   50,    4,  140,   13,     ,     ,
  225,20181108,   64,  130,    5,   30,   17,  170,    6,     ,     ,
  225,20181109,   54,   80,   21,   40,    6,  130,   22,     ,     ,
  225,20181110,   78,  110,    6,   50,   17,  150,    6,     ,     ,
  225,20181111,   90,  130,   12,   60,   22,  160,   11,     ,     ,
  225,20181112,   63,   80,   15,   40,   11,  110,   17,     ,     ,
  225,20181113,  110,  160,    9,   80,    1,  200,    7,     ,     ,
  225,20181114,   61,   90,    1,   40,   17,  120,    1,     ,     ,
  225,20181115,   40,   60,    1,   30,   11,   90,    1,     ,     ,
  225,20181116,   34,   50,   19,   20,    5,   70,    9,     ,     ,
  225,20181117,   75,  100,   18,   50,    3,  140,   21,     ,     ,
  225,20181118,   92,  110,    9,   80,    1,  160,   24,     ,     ,
  225,20181119,  109,  140,   24,   90,    1,  190,   24,     ,     ,
  330,20181101,   83,  130,   24,   60,   23,  160,   24,  109,   92,    7
  330,20181102,   73,  120,    1,   30,   23,  150,    1,   92,   65,   24
  330,20181103,   58,   70,   11,   30,    1,  110,   12,   72,   43,    1
  330,20181104,   49,   60,    9,   30,   17,   80,    9,   78,   47,    1
  330,20181105,   47,   60,   15,   30,   11,   80,    3,   89,   60,    7
  330,20181106,   63,   80,   18,   40,    1,  110,   20,  140,   85,    1
  330,20181107,  100,  120,   14,   80,    1,  160,    8,  113,  100,    6
  330,20181108,   60,   90,    3,   40,   19,  130,    5,   99,   62,   24
  330,20181109,   69,  100,   19,   40,    1,  150,   22,   95,   63,    2
  330,20181110,   93,  120,    1,   60,   17,  170,    2,  112,   98,   22
  330,20181111,   84,  110,   10,   50,   18,  160,   10,  114,   96,   24
  330,20181112,   62,   80,   21,   50,    2,  110,   19,  104,   95,   22
  330,20181113,   83,  110,    8,   60,   17,  170,   12,  105,   94,   24
  330,20181114,   64,   80,   19,   40,   24,  100,   10,   96,   61,   24
  330,20181115,   50,   70,    6,   30,   19,   80,    6,   90,   52,    2
  330,20181116,   38,   60,   24,   20,    5,   80,   24,   40,   16,    4
  330,20181117,   60,   80,   19,   40,    5,  110,   12,   51,   24,   24
  330,20181118,   70,  100,   20,   30,    1,  140,   24,   38,    5,    6
  330,20181119,  105,  120,   12,   80,    1,  170,   15,   51,   29,   24
  267,20181101,   59,   70,    7,   40,    1,  100,    5,  100,   83,    1
  267,20181102,   47,  100,    3,   30,   11,  170,    3,   82,   46,   21
  267,20181103,   47,   60,   10,   30,    1,   80,   10,   68,   45,   24
  267,20181104,   38,   50,    7,   20,   14,   70,    7,   53,   16,    2
  267,20181105,   37,   50,    8,   20,   20,   80,   14,   72,   38,    2
  267,20181106,   46,   60,   11,   30,    1,   90,   19,  109,   39,    1
  267,20181107,   70,   80,    9,   40,    2,  130,   18,  108,   96,   24
  267,20181108,   48,   70,    1,   30,   16,  100,    7,   80,   32,   23
  267,20181109,   55,   80,   21,   40,    1,  120,   22,   86,   39,    1
  267,20181110,   75,  100,    5,   50,   21,  150,    7,  107,   92,   22
  267,20181111,   71,   90,   12,   50,   21,  120,    9,  104,   84,   21
  267,20181112,   46,   60,    2,   30,    8,   90,   23,   97,   87,    1
  267,20181113,   67,  100,   13,   40,   22,  140,    9,   98,   84,   22
  267,20181114,   54,   70,   10,   40,   22,  100,   10,   85,   53,   23
  267,20181115,   40,   50,   10,   30,    3,   70,   10,   64,   37,    3
  267,20181116,   35,   50,   10,   30,    1,   70,    8,   36,    6,    5
  267,20181117,   56,   70,   10,   40,    1,  110,   21,   33,    7,   24
  267,20181118,   50,   60,   12,   40,    7,  110,   19,   29,   -7,    7
  267,20181119,   68,   80,   11,   50,    1,  130,   12,   47,   26,   23
  269,20181101,   36,   50,   21,   20,    1,   80,   22,  104,   82,    3
  269,20181102,   38,   70,    3,   10,   22,  130,    3,   75,   21,   20
  269,20181103,   24,   40,   13,   10,    1,   60,   12,   48,    5,    4
  269,20181104,   21,   30,    9,   10,    3,   50,   11,   55,  -10,    4
  269,20181105,   28,   50,   13,   10,   21,   70,   13,   68,   28,    1
  269,20181106,   21,   30,   11,   10,    1,   70,   14,  112,   27,    2
  269,20181107,   53,   70,   11,   30,    2,  110,   10,  117,   94,    7
  269,20181108,   35,   50,    1,   20,   16,   90,    1,   91,   29,   21
  269,20181109,   33,   50,   22,   20,    7,   80,   22,   92,   35,    1
  269,20181110,   55,   80,    7,   30,   16,  130,    7,  119,   97,   24
  269,20181111,   56,   80,   11,   30,   21,  130,   11,  113,   82,   24
  269,20181112,   28,   40,   16,   20,    2,   60,   17,   99,   82,    1
  269,20181113,   63,  100,   11,   40,   18,  140,   11,   97,   66,   19
  269,20181114,   30,   40,    1,   10,   24,   70,   13,   80,   27,   23
  269,20181115,   20,   30,   13,   10,    4,   50,   16,   61,    8,    5
  269,20181116,   28,   40,    9,   20,    1,   70,    9,   33,  -19,    4
  269,20181117,   45,   60,   18,   30,    1,   80,   11,   27,   -5,    5
  269,20181118,   50,   60,   11,   30,    8,   90,   12,   21,  -22,    8
  269,20181119,   76,   90,   13,   40,    1,  140,   13,   48,   21,    1
  344,20181101,   46,   50,    5,   30,    1,  120,   10,  106,   87,    4
  344,20181102,   30,   50,    1,   10,   20,  100,    1,   73,   22,   23
  344,20181103,   32,   50,   12,   20,    1,   80,   11,   61,   24,    1
  344,20181104,   25,   40,   11,   10,    1,   60,    7,   68,   14,    2
  344,20181105,   28,   40,   10,   10,   23,   70,   15,   85,   46,   24
  344,20181106,   35,   50,   10,   10,    1,   90,    7,  136,   59,    2
  344,20181107,   59,   70,    6,   40,    2,  120,    7,  113,  100,   24
  344,20181108,   41,   70,    5,   20,   17,  110,    2,   95,   49,   18
  344,20181109,   42,   60,   18,   20,    5,  110,   18,   96,   65,    3
  344,20181110,   58,   80,    1,   40,   15,  140,    5,  115,   96,   22
  344,20181111,   58,   80,   11,   40,   20,  130,   11,  114,   94,   24
  344,20181112,   37,   50,   18,   20,    5,  100,   18,  105,   94,    1
  344,20181113,   67,   90,    8,   40,   24,  160,    8,  105,   87,   24
  344,20181114,   37,   50,    8,    0,   23,   90,   11,   89,   21,   24
  344,20181115,   25,   30,    5,   10,    1,   70,   10,   79,   20,   24
  344,20181116,   23,   40,   15,   10,    3,   60,    8,   26,  -18,    6
  344,20181117,   39,   60,   13,   20,    1,  100,   13,   40,    4,    1
  344,20181118,   45,   60,   12,   20,    7,   90,   12,   25,  -24,    7
  344,20181119,   67,   90,   12,   40,    2,  140,   12,   46,   17,    2
  275,20181101,   41,   60,    5,   30,    1,   90,    5,  102,   84,    7
  275,20181102,   31,   60,    3,   10,   18,  100,    3,   68,    6,   22
  275,20181103,   19,   30,   12,   10,    1,   50,   13,   38,  -10,    6
  275,20181104,   24,   40,   11,   10,    3,   60,   12,   64,   -2,    4
  275,20181105,   24,   30,    5,   10,   21,   70,   13,   77,   53,    1
  275,20181106,   28,   50,   13,   10,   22,   90,   13,  124,   65,    1
  275,20181107,   49,   60,    9,   20,    4,  100,    9,  115,   82,    7
  275,20181108,   31,   50,    4,   10,   18,   80,    4,   91,   44,   19
  275,20181109,   34,   50,   24,   20,    7,   70,   12,   93,   64,    2
  275,20181110,   53,   80,    7,   30,   22,  130,    7,  118,   97,    1
  275,20181111,   53,   70,    7,   20,   21,  130,   12,  113,   85,   21
  275,20181112,   23,   40,   20,   10,    4,   70,   24,   98,   84,   24
  275,20181113,   52,   80,   10,   30,    1,  130,   10,   96,   66,   24
  275,20181114,   28,   40,    5,   20,    2,   70,    9,   76,   48,    7
  275,20181115,   27,   40,   21,   20,    1,   60,   23,   64,   28,   24
  275,20181116,   30,   50,   11,   10,    4,   80,   11,   50,    6,    5
  275,20181117,   36,   60,   19,   10,    3,  100,   19,   38,    6,    6
  275,20181118,   50,   70,   15,   40,    4,  110,   11,   21,  -16,    8
  275,20181119,   66,   80,   12,   50,    2,  150,   24,   46,   27,    1
  235,20181101,   53,   60,    6,   40,    2,  100,    7,  103,   86,    5
  235,20181102,   42,   80,    2,   10,   19,  150,    2,   83,   29,   24
  235,20181103,   44,   90,   13,   20,    1,  120,   13,   64,   26,    4
  235,20181104,   39,   50,    5,   30,   16,   80,    9,   70,   40,    7
  235,20181105,   42,   60,   11,   20,   21,  100,   12,   80,   66,    2
  235,20181106,   36,   50,   13,   20,    2,   80,   12,  111,   65,    3
  235,20181107,   62,   90,   12,   30,    1,  150,   13,  110,   89,    7
  235,20181108,   53,   90,    7,   30,   16,  140,    6,  101,   67,   23
  235,20181109,   46,   60,   20,   40,    1,   90,   16,   89,   71,    1
  235,20181110,   64,   90,    6,   30,   18,  150,    6,  112,   90,   23
  235,20181111,   72,  110,   12,   40,   23,  170,   12,  108,   84,   23
  235,20181112,   43,   60,   20,   30,    3,   90,   18,  101,   81,    1
  235,20181113,   71,  110,    8,   40,    4,  170,    8,  110,   85,    4
  235,20181114,   47,   70,   13,   30,    1,  110,   14,   92,   55,   23
  235,20181115,   33,   40,    1,   20,   24,   60,    1,   75,   51,   24
  235,20181116,   32,   50,    7,   10,    5,   80,    7,   45,   23,    6
  235,20181117,   55,   70,   11,   40,    1,  100,   11,   49,   31,   24
  235,20181118,   68,   90,   18,   50,    6,  130,   18,   47,   18,    8
  235,20181119,   99,  110,   14,   80,    1,  160,   16,   57,   38,   24
  257,20181101,     ,     ,     ,     ,     ,     ,     ,  109,   95,    7
  257,20181102,     ,     ,     ,     ,     ,     ,     ,   95,   45,   18
  257,20181103,     ,     ,     ,     ,     ,     ,     ,   77,   50,    3
  257,20181104,     ,     ,     ,     ,     ,     ,     ,   71,   47,    6
  257,20181105,     ,     ,     ,     ,     ,     ,     ,   76,   57,    7
  257,20181106,     ,     ,     ,     ,     ,     ,     ,  135,   78,    1
  257,20181107,     ,     ,     ,     ,     ,     ,     ,  116,   98,    7
  257,20181108,     ,     ,     ,     ,     ,     ,     ,  102,   50,   21
  257,20181109,     ,     ,     ,     ,     ,     ,     ,   93,   51,    2
  257,20181110,     ,     ,     ,     ,     ,     ,     ,  117,   99,   24
  257,20181111,     ,     ,     ,     ,     ,     ,     ,  117,  101,    1
  257,20181112,     ,     ,     ,     ,     ,     ,     ,  109,   96,    4
  257,20181113,     ,     ,     ,     ,     ,     ,     ,  114,  100,    1
  257,20181114,     ,     ,     ,     ,     ,     ,     ,  104,   76,   24
  257,20181115,     ,     ,     ,     ,     ,     ,     ,   89,   59,    7
  257,20181116,     ,     ,     ,     ,     ,     ,     ,   37,    8,    8
  257,20181117,     ,     ,     ,     ,     ,     ,     ,   41,   17,    8
  257,20181118,     ,     ,     ,     ,     ,     ,     ,   37,   11,    8
  257,20181119,     ,     ,     ,     ,     ,     ,     ,   49,   34,   23
  290,20181101,   30,   50,   24,   20,    6,   80,   24,   97,   66,    6
  290,20181102,   33,   60,    4,   10,   16,  110,    4,   73,    1,   23
  290,20181103,   21,   30,   13,   10,    1,   60,   14,   41,  -18,    6
  290,20181104,   19,   30,   12,   10,    3,   50,   13,   61,   -3,    6
  290,20181105,   18,   30,    4,   10,    1,   60,   10,   79,   36,    3
  290,20181106,   24,   40,   19,   10,    1,   60,   19,  114,   57,    4
  290,20181107,   43,   60,   12,   30,    1,  100,   13,  127,   92,    6
  290,20181108,   28,   50,    1,    0,   16,   80,    1,   88,    7,   20
  290,20181109,   30,   40,    4,   20,   15,   80,   12,   97,   61,    1
  290,20181110,   48,   80,    9,   30,    1,  170,    9,  124,   89,    1
  290,20181111,   50,   70,   11,   20,   24,  120,   10,  117,   91,   24
  290,20181112,   21,   30,    2,    0,   12,   50,    2,  101,   85,   24
  290,20181113,   49,   80,   11,   30,    1,  150,   14,   97,   69,   24
  290,20181114,   29,   40,    5,   10,   17,   70,    9,   73,   28,   19
  290,20181115,   20,   30,   11,   10,   20,   40,    1,   44,  -10,   24
  290,20181116,   20,   40,   19,    0,    2,   80,   20,   34,  -33,    7
  290,20181117,   38,   60,   18,   20,    3,   90,   17,   33,    1,   24
  290,20181118,   40,   50,    2,   30,    4,   80,    6,   19,  -19,    8
  290,20181119,   57,   70,   10,   30,    1,  140,   19,   49,   29,   24
  350,20181101,   39,   50,   11,   30,    2,   90,   23,  101,   78,    6
  350,20181102,   31,   60,   12,   10,   23,  100,   12,   73,   -2,   24
  350,20181103,   19,   40,   11,   10,    3,   60,   14,   36,  -13,    6
  350,20181104,   22,   40,   12,   10,    3,   60,   12,   59,  -15,    7
  350,20181105,   23,   40,   14,   10,   20,   50,   10,   82,   39,    3
  350,20181106,   28,   50,   24,   10,    2,   80,   21,  130,   63,    1
  350,20181107,   49,   60,    9,   30,    2,  110,    9,  111,   83,    6
  350,20181108,   30,   50,    1,   10,   20,   80,    4,   91,   35,   20
  350,20181109,   32,   60,   24,   20,    1,   90,   24,   92,   55,    1
  350,20181110,   57,   80,    6,   30,   22,  140,    3,  117,   93,   22
  350,20181111,   53,   80,   10,   20,   24,  130,   11,  114,   86,   20
  350,20181112,   23,   40,   21,   10,    8,   50,   19,  100,   84,   19
  350,20181113,   42,   60,   11,   30,   17,  120,   11,  101,   66,   24
  350,20181114,   28,   40,   10,   10,   22,   80,   15,   74,   32,    7
  350,20181115,   23,   30,   10,   10,    6,   60,   19,   69,   22,   24
  350,20181116,   22,   40,   21,    0,    5,   70,   23,   34,  -17,    5
  350,20181117,   45,   60,   10,   30,    1,   90,    9,   49,   19,   24
  350,20181118,   46,   60,   18,   30,    7,  100,   19,   28,   -4,    7
  350,20181119,   63,   80,   11,   40,    1,  140,   11,   47,   16,    3
  251,20181101,   67,   90,   23,   50,   12,  120,   24,   94,   82,    3
  251,20181102,   48,   90,    3,   10,   21,  140,    2,   82,   37,   18
  251,20181103,   63,   80,   11,   30,    1,  110,   11,   77,   43,    1
  251,20181104,   52,   70,    1,   20,   15,   90,    1,   63,   43,    7
  251,20181105,   45,   60,    7,   30,   19,   90,   14,   80,   53,    3
  251,20181106,   48,   60,    8,   30,    1,   80,    8,   95,   67,    4
  251,20181107,   72,   90,   18,   40,    1,  130,   15,  105,   86,    7
  251,20181108,   60,   90,    7,   40,   18,  120,    6,   94,   68,   22
  251,20181109,   59,   80,   22,   40,   13,  100,   22,   84,   62,    6
  251,20181110,   80,  110,    8,   50,   18,  160,    8,  102,   91,    2
  251,20181111,   85,  100,    5,   60,   21,  150,   15,  100,   91,   21
  251,20181112,   56,   80,   21,   30,   12,  110,   22,   94,   90,    2
  251,20181113,   80,  110,   10,   30,   24,  150,    9,   98,   67,   23
  251,20181114,   67,   80,   11,   30,    1,  110,   11,   90,   63,    1
  251,20181115,   45,   60,    1,   30,   16,   80,    3,   67,   49,   22
  251,20181116,   49,   70,   18,   30,   12,   90,   18,   38,   20,    7
