  STN,YYYYMMDD,   FG,  FHX, FHXH,  FHN, FHNH,  FXX, FXXH,   TG,   TN,  TNH
#
  331,20181119,   91,  110,   14,   70,    7,  160,   14,     ,     ,
  315,20181101,   71,   90,    1,   50,   19,  130,    1,     ,     ,
  315,20181102,   49,   70,   12,   30,   19,   90,    1,     ,     ,
  315,20181103,   45,   60,   21,   30,    6,   80,   21,     ,     ,
  315,20181104,   43,   70,    3,   30,   11,   80,    3,     ,     ,
  315,20181105,   33,   40,    2,   20,   11,   60,    2,     ,     ,
  315,20181106,   52,   70,   15,   30,    6,   90,   23,     ,     ,
  315,20181107,   90,  110,   15,   60,    1,  150,   16,     ,     ,
  315,20181108,   55,   90,    3,   40,   14,  120,    3,     ,     ,
  315,20181109,   55,   90,   24,   20,    4,  120,   24,     ,     ,
  315,20181110,   80,  110,    7,   50,   15,  150,    4,     ,     ,
  315,20181111,   77,  110,    9,   40,   19,  150,    9,     ,     ,
  315,20181112,   48,   70,   20,   20,    8,   90,   20,     ,     ,
  315,20181113,   80,  110,   11,   40,   23,  150,    8,     ,     ,
  315,20181114,   51,   60,    4,   40,    1,   90,    7,     ,     ,
  315,20181115,   40,   60,    7,   20,   18,   70,    4,     ,     ,
  315,20181116,   29,   40,    2,   10,   20,   70,   16,     ,     ,
  315,20181117,   52,   70,   10,   40,    1,  100,   10,     ,     ,
  315,20181118,   56,   80,   21,   40,   10,  130,   20,     ,     ,
  315,20181119,   70,   80,   12,   50,    7,  150,   22,     ,     ,
  324,20181101,   55,   90,   24,   50,    2,  130,   23,     ,     ,
  324,20181102,   58,   90,    5,   20,   20,  120,    4,     ,     ,
  324,20181103,   34,   50,   12,   20,    1,   70,   11,     ,     ,
  324,20181104,   35,   40,    3,   30,    1,   70,    9,     ,     ,
  324,20181105,   32,   40,    2,   20,   12,   70,    2,     ,     ,
  324,20181106,   45,   60,   19,   30,    2,   90,   12,     ,     ,
  324,20181107,   68,   90,   14,   50,    1,  130,   12,     ,     ,
  324,20181108,   45,   70,    2,   30,   15,  100,    1,     ,     ,
  324,20181109,   45,   70,   24,   30,    1,  110,   24,     ,     ,
  324,20181110,   64,   90,    4,   40,   15,  140,    4,     ,     ,
  324,20181111,   65,  100,   10,   40,   18,  140,    9,     ,     ,
  324,20181112,   39,   60,   22,   20,    8,   80,   22,     ,     ,
  324,20181113,   67,   90,    8,   50,   17,  140,    8,     ,     ,
  324,20181114,   38,   50,    4,   30,   17,   70,    4,     ,     ,
  324,20181115,   30,   40,   13,   20,    8,   60,   13,     ,     ,
  324,20181116,   27,   40,   15,   10,   19,   60,   16,     ,     ,
  324,20181117,   60,   80,   19,   30,    1,  120,   19,     ,     ,
  324,20181118,   79,  110,   19,   40,    6,  140,   17,     ,     ,
  324,20181119,  114,  130,   17,   90,    6,  170,   16,     ,     ,
  375,20181101,   32,   60,   24,   20,    2,   90,   24,  101,   78,    6
  375,20181102,   34,   60,    1,   10,   19,  100,    3,   76,   13,   24
  375,20181103,   16,   20,    1,   10,    3,   50,   13,   32,  -21,   24
  375,20181104,   20,   30,   11,   10,    2,   50,   11,   52,  -27,    1
  375,20181105,   27,   40,    8,   10,   22,   60,    9,   79,   40,    4
  375,20181106,   21,   30,   10,   10,    1,   50,   10,  114,   54,    8
  375,20181107,   43,   60,   14,   30,    1,  110,   14,  114,   81,    7
  375,20181108,   30,   40,    1,   10,   17,   80,    4,   88,   42,   19
  375,20181109,   28,   40,   11,   10,    8,   70,   24,   93,   45,    1
  375,20181110,   50,   60,    5,   40,    1,  120,    6,  122,  103,    1
  375,20181111,   52,   80,   10,   30,   19,  130,   11,  116,   95,   22
  375,20181112,   20,   40,   24,   10,    5,   70,   24,  100,   82,   22
  375,20181113,   51,   90,   12,   20,   24,  130,   12,   91,   51,   22
  375,20181114,   22,   40,   11,   10,    8,   60,   10,   71,   15,   24
  375,20181115,   23,   30,   11,   20,    1,   50,    9,   54,    8,   23
